metric,sample,left,right,n_left,n_right,U,p-value,A12,effect
duration,_ForestDiffusion.diffusion_with_trees_class,ours,base,30,30,381.0,0.31118764341027494,0.5766666666666667,small
duration,_ctgan.transformer,ours,base,30,30,592.0,0.036438855913451085,0.3422222222222222,medium
duration,_numpy._funcs,ours,base,30,30,380.0,0.30417681801970364,0.5777777777777777,small
duration,_numpy._getlimits,ours,base,30,30,479.0,0.673495052801603,0.4677777777777778,negligible
duration,_numpy._ndarray,ours,base,30,30,287.0,0.0162848089481173,0.6811111111111111,medium
duration,_numpy._normalizations,ours,base,30,30,445.0,0.9469559422255942,0.5055555555555555,negligible
duration,_numpy._ufuncs,ours,base,30,30,363.0,0.20094889697592833,0.5966666666666667,small
duration,_numpy._util,ours,base,30,30,367.0,0.22257289646656508,0.5922222222222222,small
duration,nn.attention.bias,ours,base,30,30,437.0,0.8533817367547931,0.5144444444444445,negligible
duration,nn.attention.flex_attention,ours,base,30,30,467.0,0.8072749507289148,0.4811111111111111,negligible
duration,nn.modules.rnn,ours,base,30,30,367.0,0.22257289646656508,0.5922222222222222,small
duration,transformers.data.metrics.squad_metrics,ours,base,30,30,358.0,0.1761275454839878,0.6022222222222222,small
duration,transformers.pipelines.text_generation,ours,base,30,30,391.0,0.38709977767912396,0.5655555555555556,small
duration,transformers.tokenization_utils_base,ours,base,30,30,270.0,0.007958995661045572,0.7,medium
score,_ForestDiffusion.diffusion_with_trees_class,ours,base,30,30,450.0,1.0,0.5,negligible
score,_ctgan.transformer,ours,base,30,30,159.5,3.485152638886886e-06,0.17722222222222223,large
score,_numpy._funcs,ours,base,30,30,169.0,6.098155734034777e-06,0.18777777777777777,large
score,_numpy._getlimits,ours,base,30,30,450.0,1.0,0.5,negligible
score,_numpy._ndarray,ours,base,30,30,530.0,0.21862300120151312,0.5888888888888889,small
score,_numpy._normalizations,ours,base,30,30,782.0,2.9628624306752323e-07,0.8688888888888889,large
score,_numpy._ufuncs,ours,base,30,30,436.0,0.597153597760741,0.48444444444444446,negligible
score,_numpy._util,ours,base,30,30,131.0,1.7839652343232173e-06,0.14555555555555555,large
score,nn.attention.bias,ours,base,30,30,40.5,1.703277391824716e-11,0.045,large
score,nn.attention.flex_attention,ours,base,30,30,900.0,3.504853770338539e-13,1.0,large
score,nn.modules.rnn,ours,base,30,30,178.0,2.0049621522947035e-05,0.19777777777777777,large
score,transformers.data.metrics.squad_metrics,ours,base,30,30,481.0,0.6341684895208826,0.5344444444444445,negligible
score,transformers.pipelines.text_generation,ours,base,30,30,450.0,1.0,0.5,negligible
score,transformers.tokenization_utils_base,ours,base,30,30,870.0,2.1448847558973588e-11,0.9666666666666667,large
