metric,sample,left,right,n_left,n_right,U,p-value,A12,effect
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,529.0,0.24581380245894136,0.4122222222222222,small
duration,_ctgan.transformer,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,580.0,0.05554569313434556,0.35555555555555557,medium
duration,_numpy._getlimits,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,444.0,0.9351919702393391,0.5066666666666667,negligible
duration,_numpy._ndarray,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,555.0,0.12235292584474146,0.38333333333333336,small
duration,nn.attention.bias,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,340.0,0.10546994652177778,0.6222222222222222,small
duration,nn.attention.flex_attention,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,407.0,0.5297824906260176,0.5477777777777778,negligible
duration,nn.modules.rnn,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,356.0,0.1668661704632597,0.6044444444444445,small
duration,transformers.data.metrics.squad_metrics,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,269.0,0.007617064306244218,0.7011111111111111,medium
duration,transformers.pipelines.text_generation,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,401.0,0.47334655725844954,0.5544444444444444,negligible
duration,transformers.tokenization_utils_base,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,569.0,0.07978164712498097,0.36777777777777776,small
score,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,480.0,0.16074199750363027,0.5333333333333333,negligible
score,_ctgan.transformer,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,520.0,0.09796312492712869,0.5777777777777777,small
score,_numpy._getlimits,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,510.0,0.041895709819865144,0.5666666666666667,small
score,_numpy._ndarray,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,464.5,0.7667920880556167,0.5161111111111111,negligible
score,nn.attention.bias,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,464.0,0.7477380767874953,0.5155555555555555,negligible
score,nn.attention.flex_attention,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,462.5,0.7501603532293337,0.5138888888888888,negligible
score,nn.modules.rnn,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,435.0,0.7507144897921212,0.48333333333333334,negligible
score,transformers.data.metrics.squad_metrics,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,306.5,0.004319762800383285,0.34055555555555556,medium
score,transformers.pipelines.text_generation,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,525.0,0.07496554926934103,0.5833333333333334,small
score,transformers.tokenization_utils_base,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5:1.5b),30,30,524.5,0.07820554394197587,0.5827777777777777,small
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,413.0,0.5894511694056184,0.5411111111111111,negligible
duration,_ctgan.transformer,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,544.0,0.1668661704632597,0.39555555555555555,small
duration,_numpy._getlimits,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,431.0,0.7844597689495465,0.5211111111111111,negligible
duration,_numpy._ndarray,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,493.0,0.5297824906260176,0.45222222222222225,negligible
duration,nn.attention.bias,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,343.0,0.11536235969206284,0.6188888888888889,small
duration,nn.attention.flex_attention,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,347.0,0.12967022490828164,0.6144444444444445,small
duration,nn.modules.rnn,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,470.0,0.773119942467523,0.4777777777777778,negligible
duration,transformers.data.metrics.squad_metrics,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,281.0,0.012732114616306573,0.6877777777777778,medium
duration,transformers.pipelines.text_generation,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,423.0,0.6952153990669099,0.53,negligible
duration,transformers.tokenization_utils_base,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,468.0,0.795845542466455,0.48,negligible
score,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,420.0,0.3128168743080748,0.4666666666666667,negligible
score,_ctgan.transformer,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,446.0,0.9364426993556345,0.4955555555555556,negligible
score,_numpy._getlimits,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,495.0,0.16940074835356123,0.55,negligible
score,_numpy._ndarray,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,431.5,0.7835536197087573,0.47944444444444445,negligible
score,nn.attention.bias,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,540.0,0.010891601176960192,0.6,small
score,nn.attention.flex_attention,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,287.5,0.005910588308431514,0.3194444444444444,medium
score,nn.modules.rnn,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,533.0,0.13935640985577682,0.5922222222222222,small
score,transformers.data.metrics.squad_metrics,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,307.0,0.021610115874033935,0.3411111111111111,medium
score,transformers.pipelines.text_generation,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,transformers.tokenization_utils_base,Model experiment (qwen2.5-coder:3b),Model experiment (qwen2.5:3b),30,30,434.0,0.5439874799179185,0.4822222222222222,negligible
