experiment,metric,method,sample,n,mean,median,std,q1,q3
model_results.csv,duration,Model experiment (qwen2.5-coder:0.5b),_numpy._ndarray,30,273.99768613333333,151.0224585,241.0017781475735,138.59205975,163.5673635
model_results.csv,duration,Model experiment (qwen2.5-coder:0.5b),_numpy._getlimits,30,195.85148666666672,198.42447900000002,147.45107121444704,74.0276535,208.56647099999998
model_results.csv,duration,Model experiment (qwen2.5-coder:0.5b),nn.attention.bias,30,588.5694401333333,468.227211,199.06199801127937,441.92161825,695.8364375
model_results.csv,duration,Model experiment (qwen2.5-coder:0.5b),nn.attention.flex_attention,30,680.6663156666667,661.030122,364.25581307484373,333.72519775,916.4024175
model_results.csv,duration,Model experiment (qwen2.5-coder:0.5b),_ForestDiffusion.diffusion_with_trees_class,30,316.4465716333333,118.71112,356.9040078328899,113.95062125,575.63613475
model_results.csv,duration,Model experiment (qwen2.5-coder:0.5b),_ctgan.transformer,30,124.90447563333333,53.8088705,212.09097321732088,51.12517625,58.715999249999996
model_results.csv,duration,Model experiment (qwen2.5-coder:0.5b),transformers.tokenization_utils_base,30,107.08019929999999,35.914339999999996,213.1872817678973,33.9803715,40.549068000000005
model_results.csv,duration,Model experiment (qwen2.5-coder:0.5b),transformers.pipelines.text_generation,30,604.5407501000002,527.3543405,394.83613803144686,220.7531755,1012.9854605
model_results.csv,duration,Model experiment (qwen2.5-coder:0.5b),transformers.data.metrics.squad_metrics,30,68.95641559999999,23.5745875,193.14599128735424,22.171792,57.89423675
model_results.csv,duration,Model experiment (qwen2.5-coder:0.5b),nn.modules.rnn,30,601.8339373,235.63561950000002,518.2734618154132,226.6210705,1246.2183287500002
model_results.csv,duration,Model experiment (qwen2.5-coder:1.5b),_numpy._ndarray,30,191.78663436666665,164.7699005,119.11520715365351,149.02237724999998,184.53811975
model_results.csv,duration,Model experiment (qwen2.5-coder:1.5b),_numpy._getlimits,30,164.57866896666667,219.71855299999999,76.20068754751418,73.364924,227.53505625
model_results.csv,duration,Model experiment (qwen2.5-coder:1.5b),nn.attention.bias,30,522.0641644333333,495.625204,112.97454201311547,484.6844745,512.88064
model_results.csv,duration,Model experiment (qwen2.5-coder:1.5b),nn.attention.flex_attention,30,521.9247999,688.8200685,272.7950971203148,210.8099545,706.24954575
model_results.csv,duration,Model experiment (qwen2.5-coder:1.5b),_ForestDiffusion.diffusion_with_trees_class,30,302.9876897666666,118.375025,292.6883536642177,113.1586185,726.8833515
model_results.csv,duration,Model experiment (qwen2.5-coder:1.5b),_ctgan.transformer,30,134.54283610000002,55.147126,204.3424543309062,53.3126975,74.20209224999999
model_results.csv,duration,Model experiment (qwen2.5-coder:1.5b),transformers.tokenization_utils_base,30,69.19676246666664,35.6372925,138.31114386367182,34.795095,52.57269775
model_results.csv,duration,Model experiment (qwen2.5-coder:1.5b),transformers.pipelines.text_generation,30,524.9572187333334,223.75617599999998,456.22250111346364,204.872522,1065.62898525
model_results.csv,duration,Model experiment (qwen2.5-coder:1.5b),transformers.data.metrics.squad_metrics,30,59.8434095,22.708232000000002,188.19358579109812,22.137522999999998,23.881435250000003
model_results.csv,duration,Model experiment (qwen2.5-coder:1.5b),nn.modules.rnn,30,586.6229317333333,226.507835,546.5461147273384,212.1097785,1275.3646265
model_results.csv,duration,Model experiment (qwen2.5-coder:3b),_numpy._ndarray,30,185.07657586666664,158.440153,110.48710983281961,151.07820425,166.2404545
model_results.csv,duration,Model experiment (qwen2.5-coder:3b),_numpy._getlimits,30,168.79722326666666,238.3121375,89.46722821410616,73.84451849999999,252.7281375
model_results.csv,duration,Model experiment (qwen2.5-coder:3b),nn.attention.bias,30,501.9058789,543.622657,121.50736249111895,531.54846675,555.410476
model_results.csv,duration,Model experiment (qwen2.5-coder:3b),nn.attention.flex_attention,30,547.0448931333333,732.6510585000001,286.17559854021385,217.11216174999998,759.8040045
model_results.csv,duration,Model experiment (qwen2.5-coder:3b),_ForestDiffusion.diffusion_with_trees_class,30,289.5025531666667,119.403358,290.55863226975055,115.28877525,598.3133735
model_results.csv,duration,Model experiment (qwen2.5-coder:3b),_ctgan.transformer,30,212.4021898,59.5352345,326.66631091406083,54.49757975,94.41802924999999
model_results.csv,duration,Model experiment (qwen2.5-coder:3b),transformers.tokenization_utils_base,30,135.79424626666662,37.4802035,238.3787122149595,35.462796499999996,39.7155155
model_results.csv,duration,Model experiment (qwen2.5-coder:3b),transformers.pipelines.text_generation,30,585.0865889666668,227.9012755,482.63237815426305,212.7826525,1126.898019
model_results.csv,duration,Model experiment (qwen2.5-coder:3b),transformers.data.metrics.squad_metrics,30,94.95443746666668,25.6564515,211.9058241165446,24.2298025,58.4267455
model_results.csv,duration,Model experiment (qwen2.5-coder:3b),nn.modules.rnn,30,590.7681902333333,262.7382005,514.5032616122857,228.8176075,1204.4577535
model_results.csv,duration,Model experiment (gemma4:e2b),_numpy._ndarray,30,188.51758609999996,196.21891599999998,32.526972368534366,187.78230525,206.62739525
model_results.csv,duration,Model experiment (gemma4:e2b),_numpy._getlimits,30,176.06553476666664,93.2864905,98.36477325926134,85.55718999999999,279.45357175000004
