metric,sample,left,right,n_left,n_right,U,p-value,A12,effect
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,227.0,0.0010035319761388477,0.7477777777777778,large
duration,_ctgan.transformer,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,95.0,1.596405099603832e-07,0.8944444444444445,large
duration,_numpy._getlimits,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,294.0,0.021506179932511887,0.6733333333333333,medium
duration,_numpy._ndarray,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,86.0,7.694963560950099e-08,0.9044444444444445,large
duration,nn.attention.bias,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,368.0,0.22823006680742364,0.5911111111111111,small
duration,nn.attention.flex_attention,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,336.0,0.09334079652708835,0.6266666666666667,small
duration,nn.modules.rnn,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,292.0,0.01988307641391072,0.6755555555555556,medium
duration,transformers.data.metrics.squad_metrics,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,29.0,5.072313498155901e-10,0.9677777777777777,large
duration,transformers.pipelines.text_generation,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,225.0,0.0009030694895713402,0.75,large
duration,transformers.tokenization_utils_base,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,43.0,1.856733730733389e-09,0.9522222222222222,large
score,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,450.0,1.0,0.5,negligible
score,_ctgan.transformer,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,510.0,0.041926167596850805,0.5666666666666667,small
score,_numpy._getlimits,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,210.0,8.178502939879927e-06,0.23333333333333334,large
score,_numpy._ndarray,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,253.5,0.001939066722152144,0.2816666666666667,large
score,nn.attention.bias,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,nn.attention.flex_attention,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,nn.modules.rnn,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,588.0,0.002589009618004962,0.6533333333333333,medium
score,transformers.data.metrics.squad_metrics,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,449.5,1.0,0.49944444444444447,negligible
score,transformers.pipelines.text_generation,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,435.0,0.33371069574356604,0.48333333333333334,negligible
score,transformers.tokenization_utils_base,Model experiment (gemma4:e2b),Model experiment (gemma4:12b),30,30,406.0,0.17969056600105604,0.45111111111111113,negligible
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:e2b),Model experiment (gemma4:26b),30,30,311.0,0.04059500053669264,0.6544444444444445,medium
