metric,sample,left,right,n_left,n_right,U,p-value,A12,effect
duration,_ForestDiffusion.diffusion_with_trees_class,DefaultPrompt,UncoveredTargetsPrompt,60,60,2338.0,0.004785281261748468,0.35055555555555556,medium
duration,_ctgan.transformer,DefaultPrompt,UncoveredTargetsPrompt,60,60,2631.0,1.3066137692174213e-05,0.26916666666666667,large
duration,_numpy._funcs,DefaultPrompt,UncoveredTargetsPrompt,60,60,2094.0,0.12344449251547768,0.41833333333333333,small
duration,_numpy._getlimits,DefaultPrompt,UncoveredTargetsPrompt,60,60,1465.0,0.07914482642483141,0.5930555555555556,small
duration,_numpy._ndarray,DefaultPrompt,UncoveredTargetsPrompt,60,60,1962.0,0.3966300408180995,0.455,negligible
duration,_numpy._normalizations,DefaultPrompt,UncoveredTargetsPrompt,60,60,2355.0,0.003610008562896519,0.3458333333333333,medium
duration,_numpy._ufuncs,DefaultPrompt,UncoveredTargetsPrompt,60,60,2342.0,0.004481210151396031,0.34944444444444445,medium
duration,_numpy._util,DefaultPrompt,UncoveredTargetsPrompt,60,60,2350.0,0.003925003944601193,0.3472222222222222,medium
duration,nn.attention.bias,DefaultPrompt,UncoveredTargetsPrompt,60,60,1900.0,0.6015035440070888,0.4722222222222222,negligible
duration,nn.attention.flex_attention,DefaultPrompt,UncoveredTargetsPrompt,60,60,1908.0,0.5725985170615513,0.47,negligible
duration,nn.modules.rnn,DefaultPrompt,UncoveredTargetsPrompt,60,60,2105.0,0.10999613374076825,0.4152777777777778,small
duration,transformers.data.metrics.squad_metrics,DefaultPrompt,UncoveredTargetsPrompt,60,60,3326.0,1.1773315361404222e-15,0.07611111111111112,large
duration,transformers.pipelines.text_generation,DefaultPrompt,UncoveredTargetsPrompt,60,60,1878.0,0.6841772840657244,0.47833333333333333,negligible
duration,transformers.tokenization_utils_base,DefaultPrompt,UncoveredTargetsPrompt,60,60,2196.0,0.03790906145531776,0.39,small
score,_ForestDiffusion.diffusion_with_trees_class,DefaultPrompt,UncoveredTargetsPrompt,60,60,3180.0,1.4295682561400493e-17,0.8833333333333333,large
score,_ctgan.transformer,DefaultPrompt,UncoveredTargetsPrompt,60,60,2494.5,6.02394061140993e-05,0.6929166666666666,medium
score,_numpy._funcs,DefaultPrompt,UncoveredTargetsPrompt,60,60,2768.0,5.1601517094388424e-08,0.7688888888888888,large
score,_numpy._getlimits,DefaultPrompt,UncoveredTargetsPrompt,60,60,2526.0,2.3792175541317281e-07,0.7016666666666667,medium
score,_numpy._ndarray,DefaultPrompt,UncoveredTargetsPrompt,60,60,2573.5,3.055785416295333e-06,0.7148611111111111,large
score,_numpy._normalizations,DefaultPrompt,UncoveredTargetsPrompt,60,60,2686.0,2.0781374590852776e-07,0.7461111111111111,large
score,_numpy._ufuncs,DefaultPrompt,UncoveredTargetsPrompt,60,60,2609.5,6.055569868546086e-07,0.7248611111111111,large
score,_numpy._util,DefaultPrompt,UncoveredTargetsPrompt,60,60,3170.5,4.3229289763118075e-15,0.8806944444444444,large
score,nn.attention.bias,DefaultPrompt,UncoveredTargetsPrompt,60,60,2693.5,1.6077261602883945e-07,0.7481944444444445,large
score,nn.attention.flex_attention,DefaultPrompt,UncoveredTargetsPrompt,60,60,2390.0,0.0002744919867610594,0.6638888888888889,medium
score,nn.modules.rnn,DefaultPrompt,UncoveredTargetsPrompt,60,60,2169.0,0.040590549939687366,0.6025,small
score,transformers.data.metrics.squad_metrics,DefaultPrompt,UncoveredTargetsPrompt,60,60,3150.0,4.480778364810112e-14,0.875,large
score,transformers.pipelines.text_generation,DefaultPrompt,UncoveredTargetsPrompt,60,60,2520.0,1.173672922393389e-05,0.7,medium
score,transformers.tokenization_utils_base,DefaultPrompt,UncoveredTargetsPrompt,60,60,1410.0,0.00015105914571975797,0.39166666666666666,small
duration,_ForestDiffusion.diffusion_with_trees_class,DefaultPrompt,NoCompressionPrompt,60,30,1128.0,0.05150833604880684,0.37333333333333335,small
duration,_ctgan.transformer,DefaultPrompt,NoCompressionPrompt,60,30,1426.0,6.863932903434048e-06,0.20777777777777778,large
duration,_numpy._funcs,DefaultPrompt,NoCompressionPrompt,60,30,1039.0,0.23583934963714015,0.42277777777777775,small
duration,_numpy._getlimits,DefaultPrompt,NoCompressionPrompt,60,30,664.0,0.04383199181574708,0.6311111111111111,small
